,SARGENT TOWNSHIP LIBRARY,506 MAIN STREET,PO BOX 476,SARGENT,68874,CUSTER,308-527-4241,Central Plains Library System,487,614,0,0,1928,,No,No,No,No,,"1,904",51,CI,SO,CD1,Y,ME,N,1,712,7/1/2023,6/30/2024,$0,,,Custer,"$18,491",,,"$18,491",$857,$0,$550,$0,"$1,407",$512,,$0 ,$512,$0,$126,"Donations, Custer Co. Foundation Grant","$2,074","$2,200","$22,610",$0,$0,$0,$0,$0,No,,,,,"$10,763",$225,"$10,988",,,,,1,,,1,,1,,"$1,399",$500,$0,"$1,899",$366,$300,$209,$180,"$8,504","$9,559","$22,446",$0,"7,323",405,696,"7,032",107,15,0,122,176,15,29,162,2,0,0,2,cake pans,50,2,1,51,"7,656",437,726,"7,367",none,,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,428,"1,234",CT - Annual Count,298,ES - Annual Estimate Based on Typical Week(s),313,CT - Annual Count,599,414,3,"1,016",487,44,531,354,8,362,419,40,459,0,0,0,"1,352","1,859",506,"2,368",No,No,Yes,No,No,No,0,101,0,N/A,,1,4,5,0,16,0,21,21,0,0,21,10,124,134,0,79,0,213,213,0,0,213,0,0,0,1,0,1,Yes,64,No,,No,,No,,,,,,,,,,,,,Yes,1,No,,1,,1,,No,TinyCat,Yes,6,OpenDNS,Hamilton,DSL,Yes,NA,N/A,50.1 Mbps - 100.0 Mbps,Yes,Deep Freeze,57,55,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,No,,,,,,,,Yes - Informal or one on one training,,,,,,,,,No,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,,1,15,0.38,0,0,0.00,0,0,0.00,0.38,Library Director,$15.00,7,1,Gayle Mattox,Library Director,11/20/2024
,SCHUYLER PUBLIC LIBRARY,108 E. 18th Street,108 E. 18th Street,SCHUYLER,68661,COLFAX,(402) 352-2221,Three Rivers Library System,"6,529","6,529",0,0,2018,2018,Yes,No,No,No,n/a,"11,300",52,CI,SO,PL1,Y,ME,N,1,"2,600",10/1/2023,9/30/2024,"$307,185",,,Colfax,"$15,000",,,"$322,185","$1,890",$0,$0,$0,"$1,890",$0,,$0 ,$0,$272,"$2,300","ALA LTC, Rob-See-Co, gift, mem","$11,930","$14,502","$338,577","$3,000",$0,$0,$0,"$3,000",Yes,out of county patrons,$25,$35,5,"$162,242","$58,163","$220,405",1,1,1,1,1,1,1,1,1,1,n/a,"$22,742",$675,"$1,596","$25,013","$9,910","$9,967",$720,$705,"$48,352","$69,654","$315,072","$3,000","31,401","1,023",116,"32,308","1,044",0,0,"1,044","1,904",36,0,"1,940",40,0,0,40,cakepans hotspots projectors screen poo,264,1,0,265,"34,613","1,060",116,"35,557",Puzzles microfilm yearbooks genealogy materials local history materials electronic magnifier plat maps children's toys LaunchPads Legos pop-up books,n/a,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,"3,662","20,264",CT - Annual Count,"2,097",CT - Annual Count,"1,168",CT - Annual Count,"7,866","9,458","2,659","19,983","1,034",116,"1,150",75,0,75,421,112,533,0,0,0,"1,758","9,396","9,686","21,741",Yes,Yes,Yes,No,No,No,92,58,0,Yes,0,10,57,67,24,315,63,469,443,26,0,469,332,869,"1,201",152,"2,813","1,500","5,666","4,615","1,018",33,"5,666",0,0,0,5,3,9,Yes,25,Yes,1,Yes,2,Yes – for all items,1,1,1,1,"cakepans, outdoor games, pool toys, hotspots, projector, screen",0,1,1,1,1,n/a,0,Yes,325,No,0,1,0,0,n/a,No,SirsiDynix,Yes,13,Cybersieve,Vyve Broadband,Fiber Optic,Yes,n/a,N/A,24.1 Mbps - 50.0 Mbps,Yes,Data443,51,51,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,launchpads,,,,,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,No,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,No,Yes,10,5,160,4,0,0,0.00,0,0,0.00,4,Library Director,$33.42,0,0,Jenny White,Library Director,2/10/2025
,SCOTIA PUBLIC LIBRARY & HERITAGE CENTER,110 S. MAIN,PO BOX 188,SCOTIA,68875,GREELEY,(308) 245-3191,Central Plains Library System,297,297,0,0,1910,N/A,Yes,No,No,No,N/A,"1,400",52,CI,SO,PL1,Y,ME,N,1,728,10/1/2023,9/30/2024,"$15,706",,,,,,,"$15,706",$809,$0,$0,$0,$809,$0,,$0 ,$0,$0,$284,donation,$779,"$1,063","$17,578",$0,$0,$0,$0,$0,No,N/A,N/A,N/A,0,"$9,164",$767,"$9,931",0,0,0,0,0,0,0,1,0,1,N/A,"$1,686",$513,$309,"$2,508",$0,$0,$762,$0,"$3,813","$4,575","$17,014",$0,"8,018",507,"1,908","6,617",33,2,0,35,0,0,0,0,8,0,1,7,"puzzles, board games, STEM kits, toys",162,151,0,313,"8,213",660,"1,908","6,965",N/A,N/A,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,356,"1,550",ES - Annual Estimate Based on Typical Week(s),80,ES - Annual Estimate Based on Typical Week(s),35,ES - Annual Estimate Based on Typical Week(s),328,"1,176",62,"1,566",536,321,857,45,1,46,"1,074",572,"1,646",0,0,0,"2,549","1,983","2,070","4,115",No,No,Yes,No,No,No,0,2,N/A,N/A,N/A,6,34,40,4,82,0,126,126,0,0,126,24,210,234,12,376,0,622,622,0,0,622,0,0,0,580,0,0,Yes,42,No,N/A,No,N/A,No,0,0,0,0,N/A,0,0,0,0,0,N/A,1,No,N/A,N/A,0,0,0,1,N/A,No,Libib,Yes,1,Netnanny,Hamilton,DSL,Yes,N/A,N/A,24.1 Mbps - 50.0 Mbps,No,N/A,33,32,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,N/A,,,,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,No,No,No,No,No,No,No,No,No,N/A,3,14,0.35,0,0,0.00,0,N/A,0.00,0.35,Director,$14.00,21,6,Julie Middendorf,Director,1/22/2025
,SCRIBNER PUBLIC LIBRARY,530 MAIN STREET,PO BOX M,SCRIBNER,68057,DODGE,(402) 664-3540,Three Rivers Library System,810,810,0,0,2017,2017,Yes,,No,No,,3350,52,CI,SO,PL1,Y,ME,N,1,"2,028",10/1/2023,9/30/2024,"$66,600",,,,,,,"$66,600",$887,$0,$0,$0,$887,$0,,$0 ,$0,$27,$0,,,$27,"$67,514",$0,$0,$0,$0,$0,No,,,,,"$39,597","$11,464","$51,061",1,1,1,1,1,1,1,1,1,1,,"$12,000",$500,$600,"$13,100","$1,400","$2,300",,$5,"$3,400","$7,105","$71,266",$0,"12,491",823,899,"12,415",280,0,4,276,549,30,2,577,25,0,0,25,Scribner History,1,0,0,1,"13,321",853,905,"13,269",Microfilm of local newspaper,,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"2,120","4,400",ES - Annual Estimate Based on Typical Week(s),720,ES - Annual Estimate Based on Typical Week(s),"1,800",ES - Annual Estimate Based on Typical Week(s),"3,400","2,538",650,"6,588",970,131,"1,101",114,1,115,840,338,"1,178",0,0,0,"2,394","5,324","3,008","8,982",No,Yes,Yes,No,No,No,7,30,0,N/A,,36,8,44,7,4,5,60,60,0,0,60,276,175,451,18,85,16,570,570,0,0,570,0,0,0,9,4,4,Yes,90,Yes,4,Yes,6,No,,,,,,,,,,,,,Yes,20,No,,1,,1,,No,Biblionix Apollo,Yes,12,Cybersitter,Great Plains,Fiber Optic,Yes,n/a,N/A,50.1 Mbps - 100.0 Mbps,No,,49,51,Yes -Temporary or shared space for makerspace,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,,,,,,,Yes - Formal training or programs,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes,5,2,51,1,1,9,0.23,1,42,1,2,Director,$18.50,1,4,Angela Brainard,Director,2/13/2025
,SEWARD MEMORIAL LIBRARY,233 SOUTH 5TH STREET,233 SOUTH 5TH STREET,SEWARD,68434,SEWARD,(402) 643-3318,Southeast Library System,"7,672","7,672",0,0,2003,2013,Yes,No,No,No,n/a,"25,775",52,CI,SO,PL1,Y,ME,N,1,"3,162",10/1/2023,9/30/2024,"$534,057",,,,,,,"$534,057","$2,119",$0,$0,$0,"$2,119",$0,,$0 ,$0,"$4,126",$0,"NAC Creative Aging Grant, donations, fines, fees","$38,100","$42,226","$578,402","$4,650",$0,$0,$0,"$4,650",Yes,Those living outside city limits,$25,$25,508,"$284,067","$77,813","$361,880",1,1,1,1,1,1,1,1,1,1,n/a,"$40,463","$6,504","$2,286","$49,253","$4,916","$5,775","$1,389","$1,147","$220,199","$233,426","$644,559","$4,650","49,556","2,947","1,608","50,895","1,575",18,340,"1,253","1,617",60,254,"1,423",75,5,7,73,"VF, Library of things, games, cake pans",814,236,43,"1,007","53,562","3,261","2,245","54,578","Genealogy books, microfilm, computers, current magazine editions",n/a,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,"4,399","55,811",CT - Annual Count,360,ES - Annual Estimate Based on Typical Week(s),"1,698",CT - Annual Count,"33,420","49,290","2,469","85,179","9,687","1,307","10,994","2,163",66,"2,229","11,040","2,384","13,424",237,17,254,"26,901","56,547","53,064","112,080",Yes,No,Yes,No,No,No,544,649,40,Yes,24788,121,89,210,1,86,97,394,383,11,0,394,"2,123","2,015","4,138",50,"1,163","1,353","6,704","6,343",361,0,"6,704",0,0,0,0,0,0,Yes,200,Yes,50,Yes,190,Yes – for some material types,1,1,1,1,Library of Things items,0,0,0,0,0,n/a,0,Yes,897,Yes,1,0,0,1,n/a,Yes,Biblionix Apollo,Yes,5,SonicWall,NextLink,Fiber Optic,Yes,49965,CT - Annual Count,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,945,96,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,n/a,,,,,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,Yes - Informal or one on one training,No,n/a,16,287,7,0,0,0.00,1,11,0.28,7,Library Director,$38.01,12,12,Becky Baker,Library Director,2/7/2025
,SHELBY COMMUNITY LIBRARY,648 N. WALNUT,PO BOX 146,SHELBY,68662,POLK,(402) 527-5181,Southeast Library System,734,734,0,0,2009,2018,Yes,No,No,No,No,"3,960",52,CI,SO,PL1,Y,ME,N,1,"1,768",10/1/2023,9/30/2024,"$51,974",,,Polk,"$2,600",,,"$54,574","$1,097",$0,$0,$0,"$1,097",$0,,$0 ,$0,$0,$0,"Fee,Services & Donations","$2,210","$2,210","$57,881",$0,$0,$0,$0,$0,Yes,Out county with out childeren in school,$28,$28,0,"$29,616","$3,341","$32,957",0,,,,1,1,,1,1,1,0,"$5,359",$500,"$1,347","$7,206",$269,$892,$0,$257,"$3,300","$4,718","$44,881",$0,"8,281",316,467,"8,130",323,0,0,323,"1,610",70,0,"1,680",9,0,2,7,Puzzles,40,18,0,58,"10,254",404,467,"10,191",N/A,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,843,"9,332",ES - Annual Estimate Based on Typical Week(s),270,ES - Annual Estimate Based on Typical Week(s),104,ES - Annual Estimate Based on Typical Week(s),"5,489","5,487",0,"10,976",687,55,742,47,0,47,681,160,841,0,0,0,"1,630","6,904","5,702","12,606",No,No,Yes,No,No,No,0,156,0,N/A,N/A,3,11,14,0,5,0,19,17,2,0,19,39,401,440,0,240,0,680,495,185,0,680,0,0,0,6,0,0,Yes,45,Yes,10,Yes,14,No,,,,,0,0,,,,,,,No,N/A,N/A,,,,0,N/A,No,Alexandria,Yes,5,Linewize,Kinetic by Windstream,Fiber Optic,Yes,NA,N/A,100.0 Mbps - 1 Gbps,Yes,Data443,N/A,144,Yes -Temporary or shared space for makerspace,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,0,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,0,1,24,0.59,0,0,0.00,1,15,0.36,0.95,Library Director,$16.64,22,1,Laura Alt,Library Director,2/13/2025
,SHELTON PUBLIC LIBRARY,313 C STREET,PO BOX 10,SHELTON,68876,BUFFALO,308-647-5182,Central Plains Library System,"1,045","1,045",0,0,1914,2022,Yes,Yes,No,No,N/A,"3,000",52,CI,SO,PL1,Y,ME,N,1,"1,560",10/1/2023,9/30/2024,"$47,470",,,,,,,"$47,470","$1,123",$0,$500,$0,"$1,623",$330,,$0 ,$330,$0,$0,Service Fees & Donations,$305,$305,"$49,728",$0,$0,"$95,000",$0,"$95,000",No,N/A,$0,$0,0,"$32,600","$3,020","$35,620",,,1,1,1,,,1,,1,,"$2,400",$0,$0,"$2,400","$1,965",$795,$0,$100,"$12,060","$14,920","$52,940",$0,"9,990",632,31,"10,591",48,255,4,299,571,6,3,574,7,6,0,13,Games & Kits,47,48,8,87,"10,656",941,46,"11,551","Laminator, headphones, screen magnifier, webcams, CD burners, paper shredder, microfilm, karaoke machine, Cricut Maker, Sewing Machine, color printers",112,No,No,No,No,No,No,No,No,No,No,No,No,643,"2,950",CT - Annual Count,50,ES - Annual Estimate Based on Typical Week(s),"1,016",CT - Annual Count,205,349,13,567,0,0,0,0,0,0,0,0,0,0,0,0,0,205,349,567,No,No,Yes,No,No,No,0,379,3,N/A,0,3,13,16,14,6,5,41,38,3,0,41,16,157,173,123,123,74,493,484,9,0,493,0,0,0,0,0,74,Yes,28,No,0,No,0,No,,,,,,1,,,,,,1,Yes,0,No,,1,,1,,No,Atrium Book Systems,Yes,6,Net Nanny,Hamilton's,DSL,Yes,N/A,N/A,50.1 Mbps - 100.0 Mbps,Yes,Deep Freeze,56,56,Yes -Temporary or shared space for makerspace,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,,,,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,,No,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,No,No,No,,2,30,0.75,0,0,0.00,0,0,0.00,0.75,Library Director,$17.84,7,2,Tony Crouse,Director,01/31/2025
,SIDNEY PUBLIC LIBRARY,1112 12TH AVENUE,P.O. BOX 119,SIDNEY,69162,CHEYENNE,308-254-3110,Western Library System,"6,440","9,541",0,1,1965,2017,Yes,No,No,No,N/A,"7,900",52,CI,MO,CO1,Y,ME,N,1,"2,730",10/1/2023,9/30/2024,"$570,743",,,Cheyenne,"$90,000",,,"$660,743","$2,300",$0,$0,$0,"$2,300",$0,,$0 ,$0,$318,$0,Story Foundation,"$20,000","$20,318","$683,361",$0,$0,$0,$0,$0,Yes,Non Residents of Cheyenne County,$0,$30,14,"$277,576","$126,701","$404,277",1,1,1,1,1,1,1,1,1,1,N/A,"$21,497",$953,"$4,749","$27,199",$100,"$5,022",$432,$450,"$39,114","$45,118","$476,594",$0,"29,346",2381,2019,"29,708","2,879",392,49,"3,222","1,327",192,68,"1,451",22,0,0,22,Projectors and screens,6,0,0,6,"33,558","2,965","2,136","34,387","Microfilm, Genealogy Collection",,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"3,929","29,977",CT - Annual Count,"1,295",ES - Annual Estimate Based on Typical Week(s),"5,056",CT - Annual Count,"7,404","3,605",109,"11,118","2,411",792,"3,203",980,4,984,"5,005",761,"5,766",0,0,0,"9,953","15,800","5,162","21,071",No,No,Yes,No,No,No,161,52,0,No,N/A,85,32,117,4,9,25,155,146,9,0,155,668,315,983,0,85,481,"1,549","1,549",0,0,"1,549",0,0,0,0,0,0,Yes,142,Yes,32,Yes,92,No,,,,,,1,,,,,,1,Yes,216,No,,,,1,,No,Alexandria,Yes,12,DNS Filter,OPTK,Fiber Optic,Yes,13373,CT - Annual Count,50.1 Mbps - 100.0 Mbps,Yes,Deep Freeze,314,174,Yes - Permanently allocated makerspace,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,,,,,Yes - Informal or one on one training,,,,No,No,No,No,No,No,No,No,No,N/A,6,240,6,0,0,0.00,0,0,0.00,6,Director,$28.83,2,10,Naomi Young,Office Manager,02/11/2025
,SILVER CREEK TOWNSHIP LIBRARY,309 VINE STREET,PO BOX 249,SILVER CREEK,68663,MERRICK,(308) 773-2594,Southeast Library System,321,536,0,0,1934,2019,No,No,No,No,,2000,52,CI,SO,CD1,Y,ME,N,1,780,1/1/2024,12/31/2024,$779,Silver Creek Township,"$13,708",Merrick,"$1,000",,,"$15,487",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,"Hartland United Way, memorials, donations","$3,145","$3,145","$18,832",$0,$0,$0,$0,$0,No,,,,,"$8,202","$1,531","$9,733",,,,,1,,,0,,1,,"$1,560",$0,$0,"$1,560",$0,$0,$779,$0,"$5,938","$6,717","$18,010",$0,"8,806",327,0,"9,133",0,0,0,0,0,0,0,0,0,0,0,0,None,6,0,6,0,"8,812",327,6,"9,133",none,0,No,No,No,No,No,No,No,No,No,No,No,No,319,919,CT - Annual Count,260,CT - Annual Count,0,CT - Annual Count,585,740,0,"1,325",0,0,0,0,0,0,0,0,0,0,0,0,0,585,740,"1,325",No,No,Yes,No,No,No,0,0,0,No,,0,14,14,0,0,0,14,12,2,0,14,0,153,153,0,0,0,153,114,39,0,153,0,0,0,0,0,0,Yes,25,No,0,No,0,No,,,,,,,,,,,,0,No,0,No,,,,1,,No,Readerware,Yes,0,none,Century LInk,Cable,Yes,NA,N/A,24.1 Mbps - 50.0 Mbps,N/A,,51,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,,2,15,0.38,0,0,0.00,0,0,0.00,0.38,Librarian,$12.00,2,1,Lori Cave,Library Board Secretary,2/03/2025
,SIOUX COUNTY PUBLIC LIBRARY,182 WEST 3RD,P. O. BOX 31,HARRISON,69346,SIOUX,(308) 668-9431,Western Library System,240,"1,154",0,0,1960,2024,Yes,No,No,No,N/A,"1,000",52,CO,SO,CO1,Y,ME,N,1,"1,352",7/1/2023,6/30/2024,$0,,,Sioux,"$50,223",,,"$50,223",$736,$0,$0,$0,$736,$0,,$0 ,$0,$0,$100,"QB Foundation, Humanities Ne","$3,075","$3,175","$54,134",$0,$0,$0,$0,$0,Yes,Anyone living outside of Sioux County,$8.00,N/A,0,"$21,194","$3,052","$24,246",,,,0,,1,,1,1,1,,"$7,301",$500,"$2,000","$9,801",$130,"$1,190",$0,$223,"$10,506","$12,049","$46,096",$0,"9,171",574,608,"9,137",358,11,4,365,665,105,2,768,1,0,0,1,"Backpacks, puzzles and games",30,3,1,32,"10,224",693,615,"10,302","Community cookbooks, historical books from Sioux County and surrounding areas.",N/A,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,335,"2,046",CT - Annual Count,401,ES - Annual Estimate Based on Typical Week(s),531,CT - Annual Count,699,"1,526",39,"2,264",626,117,743,12,1,13,556,89,645,0,0,0,"1,401","1,893","1,733","3,665",No,No,Yes,No,No,No,0,2,0,N/A,N/A,29,12,41,0,1,0,42,41,1,0,42,328,150,478,0,30,0,508,478,30,0,508,0,0,0,8,8,0,Yes,26,No,0,No,0,No,,,,,,1,,,,,,1,No,N/A,N/A,,,,1,,Yes,Atriuum,Yes,3,Norton,WinDBreak Cable,Fiber Optic,Yes,N/A,N/A,100.0 Mbps - 1 Gbps,No,N/A,194,185,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,N/A,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,N/A,1,30,0.75,0,0,0.00,0,0,0.00,0.75,Director,$14.98,6,3,Sarah Sanderson,Director,12/2/2024
,SNYDER PUBLIC LIBRARY,203 ASH STREET,PO BOX 26,SNYDER,68664,DODGE,402-568-2570,Three Rivers Library System,242,242,0,0,1949,2000,Yes,No,No,No,,600,52,CI,SO,PL1,Y,ME,N,1,832,10/1/2023,9/30/2024,"$21,200",,,,,,,"$21,200",$200,$0,$0,$0,$200,$0,,$0 ,$0,$0,$0,,,$0,"$21,400",$0,$0,$0,$0,$0,No,,,,,"$10,798","$1,541","$12,339",,,,,,,,,,,,"$1,157",$0,$363,"$1,520",$109,$0,$0,$0,"$1,833","$1,942","$15,801",$0,"3,287",87,261,"3,113",0,0,0,0,624,22,0,646,3,0,0,3,None,0,0,0,0,"3,911",109,261,"3,759",N/A,0,No,No,No,No,No,No,No,No,No,No,No,No,72,"1,027",CT - Annual Count,234,CT - Annual Count,303,CT - Annual Count,130,119,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,130,119,249,No,No,Yes,No,No,No,0,26,0,No,,0,6,6,16,10,46,78,77,1,0,78,0,58,58,95,42,443,638,634,4,0,638,0,0,0,15,15,15,Yes,12,No,,No,,No,,,,,,0,,,,,,,No,N/A,N/A,,,,1,,Yes,None,Yes,4,DNSFilter,Skywave,Fiber Optic,Yes,N/A,N/A,50.1 Mbps - 100.0 Mbps,No,None,44,50,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,,,,,,,,,Yes - Informal or one on one training,,,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,,1,16,0.40,0,0,0.00,0,0,0.00,0.40,Director,$14.00,10,5,Elizabeth Hittle,Director,11/17/2024
,SOUTH SIOUX CITY PUBLIC LIBRARY,2121 DAKOTA AVENUE,2121 DAKOTA AVENUE,SOUTH SIOUX CITY,68776,DAKOTA,(402) 494-7545,Three Rivers Library System,"13,856","13,856",0,0,2004,,Yes,Yes,No,Yes,,"16,385",52,CI,SO,PL1,Y,ME,N,1,"3,040",10/1/2023,9/30/2024,"$794,182",,,,,,,"$794,182","$1,837",$0,$0,"$1,500","$3,337",$0,,$0 ,$0,$0,$0,,,$0,"$797,519",$0,$0,$0,$0,$0,Yes,nonresidents,$75.00,$75.00,13,"$329,955","$23,702","$353,657",1,0,1,1,1,1,1,1,1,1,,"$27,954","$13,000","$2,549","$43,503","$11,811",$0,"$1,543","$4,626","$44,360","$62,340","$459,500",$0,"39,730","1,839","6,516","35,053","1,341",43,23,"1,361","2,782",139,77,"2,844",537,540,505,572,"toys, games, kits, hotspots, umbrellas",107,0,0,107,"43,960","2,021","6,616","39,365","Sewing machine (5), 3D printers (2), Microfilm, button machine (2), heat press (1), cricut (1), driving simulator (1).",124,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,"6,955","44,579",CT - Annual Count,"1,790",CT - Annual Count,"6,137",CT - Annual Count,"6,061","4,606",7,"10,674","2,018",632,"2,650",247,5,252,"2,854",814,"3,668",319,57,376,"6,946","11,499","6,114","17,620",Yes,Yes,Yes,Yes,Yes,No,0,266,0,No,,136,167,303,120,134,209,766,712,53,1,766,942,"1,122","2,064",152,486,"2,154","4,856","3,771","1,083",2,"4,856",0,0,,69,7,577,Yes,,No,,,,No,,,,,,1,,,,,,1,Yes,100,Yes,,1,,1,,No,Koha,Yes,18,Fortinet,Long Lines,Fiber Optic,Yes,NA,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,174,153,Yes -Temporary or shared space for makerspace,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Driving Simulator,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes - Informal or one on one training,No,Yes - Formal training or programs,Yes - Informal or one on one training,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Formal training or programs,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,Yes - Informal or one on one training,,Yes - Informal or one on one training,Yes,1,11,312,8,1,40,1,0,0,0.00,8,Director,$36.67,15,2,Cicely Douglas,Director,3/27/2025
,SPALDING PUBLIC LIBRARY,159 WEST SAINT JOSEPH STREET,P. O. BOX 74,SPALDING,68665,GREELEY,308-497-2705,Central Plains Library System,425,425,0,0,1925,,No,No,No,No,,1980,52,CI,SO,PL1,Y,ME,N,1,510,10/1/2023,9/30/2024,"$8,944",,,,,,,"$8,944",$200,$0,$0,$0,$200,$0,,$0 ,$0,0,0,,,$0,"$9,144",$0,$0,$0,$0,$0,No,,,,,"$6,672",$414,"$7,086",,,,,,,,,,,,"$1,835",500,0,"$2,335",$0,$0,$0,$0,"$2,431","$2,431","$11,852",$0,"9,222",180,241,"9,161",218,0,3,215,184,0,184,0,2,0,0,2,none,0,0,0,0,"9,624",180,428,"9,376",3 headphones,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,273,884,ES - Annual Estimate Based on Typical Week(s),208,ES - Annual Estimate Based on Typical Week(s),37,ES - Annual Estimate Based on Typical Week(s),988,468,0,"1,456",673,101,774,8,0,8,267,56,323,0,0,0,"1,105","1,936",625,"2,561",No,No,Yes,No,No,No,0,116,0,N/A,,4,0,4,0,0,0,4,4,0,0,4,86,0,86,0,0,0,86,86,0,0,86,0,0,0,0,0,,,,,,,,No,,,,,,,,,,,,,No,,,,,,,,No,none,Yes,3,none,great plains,DSL,Yes,NA,N/A,50.1 Mbps - 100.0 Mbps,No,,53,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,0,2,10,0.25,0,0,0.00,0,0,0.00,0.25,library director,$10.50,0,0,Debra Pritchard,Library Director,02/13/2025
,SPENCER TOWNSHIP LIBRARY,110 WEST MAIN STREET,PO BOX 189,SPENCER,68777,BOYD,(402) 589-1131,Central Plains Library System,384,539,0,0,1917,,,,,,,2760,,CI,SO,CD1,Y,ME,N,1,0,7/1/2023,6/30/2024,,,,,,,,$0,,,,,$0,,,$0 ,$0,,,,,$0,$0,,,,,$0,,,,,,,,$0,,,,,,,,,,,,,,,$0,,,,,,$0,$0,,,,,0,,,,0,,,,0,,,,0,,,,,0,0,0,0,0,,,,,No,,,,,,No,,,No,,,,,,,,,,,0,,,0,,,0,,,0,,,0,0,0,0,0,,,Yes,,,No,,,,,,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,0.00,,,,,,,
